         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 dataclasses.py:610(_is_type)
       30    0.000    0.000    0.000    0.000 function_base.py:18(_linspace_dispatcher)
        1    0.000    0.000    0.008    0.008 backend_gtk4agg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:62(_raise_malformed_node)
        8    0.000    0.000    0.000    0.000 core.py:8094(__init__)
       16    0.000    0.000    0.000    0.000 ticker.py:480(set_useOffset)
       48    0.000    0.000    0.000    0.000 numeric.py:319(_full_like_dispatcher)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
       11    0.000    0.000    0.000    0.000 patches.py:364(set_facecolor)
        1    0.000    0.000    0.000    0.000 colorbar.py:197(__getattr__)
        1    0.000    0.000    0.000    0.000 quiver.py:451(Quiver)
        1    0.000    0.000    0.000    0.000 8085Assembler.py:245(__init__)
       20    0.000    0.000    0.000    0.000 text.py:256(get_rotation_mode)
        3    0.000    0.000    0.000    0.000 pathlib.py:374(gethomedir)
        1    0.000    0.000    0.000    0.000 gridspec.py:225(__getitem__)
        1    0.000    0.000    0.000    0.000 widgets.py:3257(LassoSelector)
        7    0.000    0.000    0.000    0.000 core.py:2555(_arraymethod)
       56    0.000    0.000    0.000    0.000 {method 'may_be_null' of 'gi.ArgInfo' objects}
        2    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
        9    0.000    0.000    0.000    0.000 text.py:368(<listcomp>)
        6    0.000    0.000    0.000    0.000 core.py:588(filled)
        2    0.000    0.000    0.000    0.000 arrayprint.py:458(decorating_function)
        7    0.000    0.000    0.000    0.000 fractions.py:302(_operator_fallbacks)
       16    0.000    0.000    0.000    0.000 ticker.py:559(set_useMathText)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:2181(timezone)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:680(values)
       10    0.000    0.000    0.000    0.000 rcsetup.py:544(_validate_greaterequal0_lessthan1)
        1    0.000    0.000    0.000    0.000 _base.py:1493(_set_title_offset_trans)
        6    0.000    0.000    0.000    0.000 __init__.py:1683(sanitize_sequence)
       14    0.000    0.000    0.000    0.000 __init__.py:155(get_required_version)
        3    0.000    0.000    0.000    0.000 {method 'get_loaded_namespaces' of 'gi.Repository' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.002    0.002 variadic.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:202(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
        4    0.000    0.000    0.000    0.000 axis.py:1381(get_minor_ticks)
       23    0.000    0.000    0.000    0.000 enum.py:753(value)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:56(BmpImageFile)
        2    0.000    0.000    0.000    0.000 figure.py:84(add)
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
       30    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 8085Assembler.py:47(Memory)
       24    0.000    0.000    0.000    0.000 variadic.py:36(isvariadic)
        6    0.000    0.000    0.000    0.000 rcsetup.py:174(_make_type_validator)
        6    0.000    0.000    0.000    0.000 core.py:1147(__init__)
        1    0.000    0.000    0.000    0.000 8085Assembler.py:126(RAM)
        4    0.000    0.000    0.000    0.000 transforms.py:808(null)
        1    0.000    0.000    0.000    0.000 pathlib.py:1025(Path)
        8    0.000    0.000    0.000    0.000 _methods.py:45(_sum)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3758(__init__)
       77    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1162(<listcomp>)
        1    0.000    0.000    0.000    0.000 tz.py:374(tzfile)
        3    0.000    0.000    0.000    0.000 collections.py:709(set_antialiased)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
       12    0.000    0.000    0.000    0.000 patches.py:2175(<genexpr>)
        4    0.000    0.000    0.000    0.000 artist.py:1076(set_label)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4663(stopOn)
       24    0.000    0.000    0.000    0.000 axis.py:148(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _compat.py:14(<module>)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6674(type_aliases_gen)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_name)
        1    0.000    0.000    0.000    0.000 __init__.py:862(__init__)
        1    0.000    0.000    0.078    0.078 pyplot.py:303(new_figure_manager)
        9    0.000    0.000    0.000    0.000 pkgutil.py:405(get_importer)
        1    0.000    0.000    0.000    0.000 collections.py:1295(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:1284(Transform)
        6    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
       11    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
       24    0.000    0.000    0.000    0.000 dviread.py:160(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3654(__init__)
       10    0.000    0.000    0.000    0.000 extras.py:235(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:6746(pyparsing_unicode)
        4    0.000    0.000    0.000    0.000 axis.py:2239(get_minpos)
        3    0.000    0.000    0.000    0.000 text.py:211(_get_xy_display)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2712(FigureManagerBase)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.000    0.000 tempfile.py:761(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:619(empty)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1770(draw_event)
        1    0.000    0.000    0.000    0.000 backend_cairo.py:325(GraphicsContextCairo)
        1    0.000    0.000    0.000    0.000 subprocess.py:1708(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 widgets.py:1798(_SelectorWidget)
        1    0.000    0.000    0.000    0.000 transforms.py:2113(IdentityTransform)
       27    0.000    0.000    0.000    0.000 artist.py:657(get_sketch_params)
        1    0.000    0.000    0.000    0.000 __init__.py:524(get_data_path)
        1    0.000    0.000    0.000    0.000 _sitebuiltins.py:19(__call__)
       24    0.000    0.000    0.000    0.000 {built-in method from_name}
        1    0.000    0.000    0.000    0.000 quiver.py:209(QuiverKey)
        2    0.000    0.000    0.000    0.000 types.py:100(prepare_class)
        1    0.000    0.000    0.000    0.000 Gtk.py:444(SizeGroup)
       78    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        3    0.000    0.000    0.000    0.000 collections.py:513(set_hatch)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:170(__init__)
        1    0.000    0.000    0.000    0.000 random.py:123(seed)
        1    0.000    0.000    0.000    0.000 pyparsing.py:502(ParseResults)
        1    0.000    0.000    0.000    0.000 ticker.py:180(TickHelper)
        7    0.000    0.000    0.000    0.000 pathlib.py:1193(stat)
        3    0.000    0.000    0.000    0.000 collections.py:820(set_alpha)
        3    0.000    0.000    0.000    0.000 path.py:793(unit_circle)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        8    0.000    0.000    0.000    0.000 pyparsing.py:1782(clear)
        1    0.000    0.000    0.004    0.004 backend_qtagg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:955(parents)
        4    0.000    0.000    0.000    0.000 __init__.py:551(gen_candidates)
        9    0.000    0.000    0.000    0.000 pyparsing.py:4645(__str__)
       14    0.000    0.000    0.000    0.000 axis.py:755(get_scale)
        3    0.000    0.000    0.000    0.000 __init__.py:210(deprecated)
        3    0.000    0.000    0.000    0.000 _base.py:786(_request_autoscale_view)
        6    0.000    0.000    0.000    0.000 fromnumeric.py:94(take)
        1    0.000    0.000    0.000    0.000 8085Assembler.py:51(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:546(<dictcomp>)
        9    0.000    0.000    0.000    0.000 core.py:1546(_shrink_mask)
        1    0.000    0.000    0.000    0.000 transforms.py:1694(TransformWrapper)
        6    0.000    0.000    0.000    0.000 core.py:1645(make_mask_none)
        1    0.000    0.000    0.000    0.000 art3d.py:504(Path3DCollection)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unique)
        2    0.000    0.000    0.000    0.000 textpath.py:24(__init__)
        3    0.000    0.000    0.000    0.000 core.py:7903(asarray)
        6    0.000    0.000    0.000    0.000 __init__.py:250(_logged_cached)
        1    0.000    0.000    0.000    0.000 subprocess.py:1459(_get_handles)
       17    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        5    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 GLib.py:694(IOChannel)
        1    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        2    0.000    0.000    0.000    0.000 transforms.py:1752(set)
        9    0.000    0.000    0.000    0.000 artist.py:240(<genexpr>)
        1    0.000    0.000    0.000    0.000 widgets.py:942(CheckButtons)
        1    0.000    0.000    0.000    0.000 Image.py:415(_getencoder)
       30    0.000    0.000    0.000    0.000 multiarray.py:634(result_type)
        1    0.000    0.000    0.000    0.000 pathlib.py:317(resolve)
        2    0.000    0.000    0.000    0.000 axis.py:1546(set_label_text)
        1    0.000    0.000    0.000    0.000 image.py:216(_ImageBase)
        3    0.000    0.000    0.000    0.000 _common.py:128(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 backend_tools.py:28(Cursors)
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:10(SecondaryAxis)
        3    0.000    0.000    0.000    0.000 transforms.py:259(frozen)
        4    0.000    0.000    0.001    0.000 spines.py:206(register_axis)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:257(add_text)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dispatcher.py:330(dispatch_iter)
        1    0.000    0.000    0.000    0.000 textpath.py:18(TextToPath)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3565(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:969(parse_template)
        1    0.000    0.000    0.000    0.000 pyparsing.py:288(conditionAsParseAction)
        1    0.000    0.000    0.000    0.000 gridspec.py:567(_from_subplot_args)
        3    0.000    0.000    0.000    0.000 collections.py:753(set_facecolor)
        2    0.000    0.000    0.000    0.000 _base.py:1579(get_aspect)
        1    0.000    0.000    0.000    0.000 backend_agg.py:109(_update_methods)
        1    0.000    0.000    0.000    0.000 _base.py:3455(set_xlabel)
        2    0.000    0.000    0.000    0.000 dataclasses.py:356(_recursive_repr)
        2    0.000    0.000    0.000    0.000 dataclasses.py:537(_repr_fn)
        1    0.000    0.000    0.000    0.000 backend_gtk3.py:301(FigureManagerGTK3)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        6    0.000    0.000    0.000    0.000 enum.py:957(_high_bit)
        1    0.000    0.000    0.004    0.004 backend_gtk3.py:397(_get_toolbar)
        1    0.000    0.000    0.000    0.000 _base.py:3150(set_axisbelow)
        3    0.000    0.000    0.000    0.000 patches.py:2170(<listcomp>)
        1    0.000    0.000    0.000    0.000 random.py:78(Random)
        1    0.000    0.000    0.000    0.000 patches.py:1614(Annulus)
        1    0.000    0.000    0.000    0.000 machar.py:1(<module>)
        4    0.000    0.000    0.000    0.000 cm.py:537(set_cmap)
        1    0.000    0.000    0.000    0.000 GLib.py:86(_VariantCreator)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.000    0.000 polar.py:648(RadialAxis)
        9    0.000    0.000    0.000    0.000 core.py:3600(shrink_mask)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3796(parseImpl)
        1    0.000    0.000    0.000    0.000 uuid.py:72(SafeUUID)
        1    0.000    0.000    0.000    0.000 patches.py:1035(Polygon)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
       31    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       13    0.000    0.000    0.000    0.000 text.py:834(get_position)
        1    0.000    0.000    0.000    0.000 patches.py:1479(Ellipse)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3279(update)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
       12    0.000    0.000    0.000    0.000 rcsetup.py:377(validate_fontweight)
        3    0.000    0.000    0.000    0.000 __init__.py:598(push)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
        6    0.000    0.000    0.000    0.000 collections.py:233(get_offset_transform)
        1    0.000    0.000    0.000    0.000 Gtk.py:518(__init__)
        2    0.000    0.000    0.000    0.000 backend_gtk3.py:128(set_cursor)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 axis.py:2275(YAxis)
       20    0.000    0.000    0.000    0.000 text.py:539(get_wrap)
        1    0.000    0.000    0.000    0.000 polar.py:353(ThetaAxis)
        1    0.000    0.000    0.000    0.000 numeric.py:2084(identity)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1056(TimerBase)
        3    0.000    0.000    0.000    0.000 artist.py:978(_set_alpha_for_array)
       52    0.000    0.000    0.000    0.000 {method 'is_optional' of 'gi.ArgInfo' objects}
       48    0.000    0.000    0.000    0.000 multiarray.py:75(empty_like)
        1    0.000    0.000    0.000    0.000 patches.py:2654(ConnectionStyle)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
       25    0.000    0.000    0.000    0.000 {method 'get_constants' of 'InterfaceInfo' objects}
        6    0.000    0.000    0.000    0.000 numerictypes.py:286(issubclass_)
       33    0.000    0.000    0.000    0.000 pyparsing.py:4229(<genexpr>)
       11    0.000    0.000    0.000    0.000 dataclasses.py:468(_init_param)
        1    0.000    0.000    0.000    0.000 Image.py:3144(_apply_env_variables)
        6    0.000    0.000    0.000    0.000 transforms.py:2656(get_matrix)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:123(set_active)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 figure.py:2743(clf)
        1    0.000    0.000    0.000    0.000 art3d.py:408(Patch3DCollection)
        1    0.000    0.000    0.000    0.000 figure.py:776(_add_axes_internal)
        1    0.000    0.000    0.000    0.000 8085Assembler.py:292(addition)
        1    0.000    0.000    0.002    0.002 decoder.py:332(decode)
       24    0.000    0.000    0.000    0.000 type_check.py:121(real)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(intersect1d)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        2    0.000    0.000    0.000    0.000 subprocess.py:1078(wait)
        1    0.000    0.000    0.000    0.000 backend_gtk3.py:44(__getattr__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        4    0.000    0.000    0.000    0.000 cm.py:575(set_norm)
        1    0.000    0.000    0.000    0.000 backend_tools.py:895(ToolHelpBase)
        4    0.000    0.000    0.000    0.000 axis.py:2501(get_minpos)
        1    0.000    0.000    0.000    0.000 widgets.py:137(Button)
        1    0.000    0.000    0.001    0.001 _subplots.py:58(set_subplotspec)
       29    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6714(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 dates.py:1646(MicrosecondLocator)
        1    0.000    0.000    0.000    0.000 cycler.py:104(Cycler)
        1    0.000    0.000    0.000    0.000 art3d.py:332(Patch3D)
        1    0.000    0.000    0.000    0.000 offsetbox.py:932(AnchoredOffsetbox)
        1    0.000    0.000    0.000    0.000 conflict.py:78(ambiguities)
        3    0.000    0.000    0.000    0.000 rcsetup.py:770(validate_hist_bins)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 bezier.py:182(BezierSegment)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:121(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:236(set_prop_cycle)
        1    0.000    0.000    0.000    0.000 _enums.py:17(_AutoStringNameEnum)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:263(tzrangebase)
        4    0.000    0.000    0.000    0.000 re.py:223(split)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4768(__str__)
        3    0.000    0.000    0.000    0.000 axis.py:1922(_get_ticks_position)
        1    0.000    0.000    0.000    0.000 patches.py:684(Rectangle)
        1    0.000    0.000    0.000    0.000 units.py:108(ConversionInterface)
        3    0.000    0.000    0.000    0.000 axis.py:2226(get_ticks_position)
        1    0.000    0.000    0.000    0.000 pathlib.py:1402(exists)
        1    0.000    0.000    0.000    0.000 patches.py:1282(FancyArrow)
        1    0.000    0.000    0.000    0.000 widgets.py:312(Slider)
        1    0.000    0.000    0.000    0.000 axis.py:2009(XAxis)
        8    0.000    0.000    0.000    0.000 spines.py:585(__len__)
        7    0.000    0.000    0.000    0.000 Image.py:2995(register_save)
       24    0.000    0.000    0.000    0.000 type_check.py:206(_is_type_dispatcher)
        1    0.000    0.000    0.000    0.000 polynomial.py:1456(Polynomial)
        7    0.000    0.000    0.000    0.000 patches.py:318(set_antialiased)
        1    0.000    0.000    0.000    0.000 widgets.py:92(AxesWidget)
        1    0.000    0.000    0.000    0.000 figure.py:1928(SubFigure)
        4    0.000    0.000    0.000    0.000 conflict.py:120(<genexpr>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1641(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 backend_tools.py:351(ToolQuit)
        2    0.000    0.000    0.000    0.000 pathlib.py:492(select_from)
        4    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 widgets.py:1372(RadioButtons)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(shape)
        1    0.000    0.000    0.000    0.000 backend_managers.py:33(ToolManager)
        1    0.000    0.000    0.000    0.000 subprocess.py:1761(_try_wait)
       18    0.000    0.000    0.000    0.000 lines.py:594(get_markevery)
       18    0.000    0.000    0.000    0.000 markers.py:368(get_snap_threshold)
       17    0.000    0.000    0.000    0.000 cycler.py:170(change_key)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       20    0.000    0.000    0.000    0.000 artist.py:821(get_alpha)
        1    0.000    0.000    0.000    0.000 gridspec.py:204(_check_gridspec_exists)
        1    0.000    0.000    0.000    0.000 pathlib.py:314(compile_pattern)
        2    0.000    0.000    0.000    0.000 dataclasses.py:505(<dictcomp>)
       24    0.000    0.000    0.000    0.000 dviread.py:127(_dispatch)
        1    0.000    0.000    0.002    0.002 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:751(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
       30    0.000    0.000    0.000    0.000 version.py:420(_parse_letter_version)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:179(__getattr__)
        1    0.000    0.000    0.000    0.000 transforms.py:1161(LockableBbox)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(take)
        1    0.000    0.000    0.000    0.000 subprocess.py:430(__init__)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6673(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:560(_register_types)
        1    0.000    0.000    0.000    0.000 _base.py:1735(set_box_aspect)
        1    0.000    0.000    0.000    0.000 pathlib.py:528(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:106(__init__)
       23    0.000    0.000    0.000    0.000 8085Assembler.py:113(getProgramCounter)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:849(with_name)
        5    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        6    0.000    0.000    0.000    0.000 pyparsing.py:2400(__call__)
        4    0.000    0.000    0.000    0.000 isoparser.py:22(_takes_ascii)
        1    0.000    0.000    0.000    0.000 afm.py:358(AFM)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1546(set_string_function)
       32    0.000    0.000    0.000    0.000 inspect.py:2861(return_annotation)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
       20    0.000    0.000    0.000    0.000 backend_bases.py:639(flipy)
        1    0.000    0.000    0.000    0.000 Gtk.py:1481(Adjustment)
       18    0.000    0.000    0.000    0.000 markers.py:282(get_joinstyle)
        6    0.000    0.000    0.000    0.000 transforms.py:1726(__eq__)
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 _option.py:56(Option)
       25    0.000    0.000    0.000    0.000 dataclasses.py:389(<genexpr>)
        4    0.000    0.000    0.000    0.000 Image.py:3029(register_extensions)
        1    0.000    0.000    0.000    0.000 _gtktemplate.py:139(Callback)
        4    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2858(_Mode)
        1    0.000    0.000    0.000    0.000 trirefine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:62(<setcomp>)
        1    0.000    0.000    0.000    0.000 transforms.py:2341(CompositeGenericTransform)
        1    0.000    0.000    0.000    0.000 patches.py:632(Shadow)
        4    0.000    0.000    0.000    0.000 ticker.py:1743(__call__)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:151(<listcomp>)
        1    0.000    0.000    0.001    0.001 linecache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4911(__init__)
       29    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
        1    0.000    0.000    0.000    0.000 cm.py:29(__getattr__)
        1    0.000    0.000    0.012    0.012 __init__.py:2275(class_factory)
        1    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:14(GeoAxes)
        7    0.000    0.000    0.000    0.000 rrule.py:70(__init__)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
        1    0.000    0.000    0.000    0.000 posixpath.py:387(realpath)
       10    0.000    0.000    0.000    0.000 {method 'get_version' of 'gi.Repository' objects}
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 colors.py:1107(Normalize)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2790(notify_axes_change)
        1    0.000    0.000    0.000    0.000 _enums.py:115(<listcomp>)
        1    0.000    0.000    0.000    0.000 fontconfig_pattern.py:27(FontconfigPatternParser)
       18    0.000    0.000    0.000    0.000 markers.py:352(get_alt_path)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:646(__iter__)
        2    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        3    0.000    0.000    0.000    0.000 collections.py:773(get_edgecolor)
        3    0.000    0.000    0.000    0.000 os.py:1073(__subclasshook__)
        5    0.000    0.000    0.000    0.000 inspect.py:1207(formatannotation)
        1    0.000    0.000    0.000    0.000 8085Assembler.py:803(OR)
        1    0.000    0.000    0.000    0.000 stackplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:359(PathPatch3D)
        3    0.000    0.000    0.000    0.000 types.py:79(resolve_bases)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1238(__iter__)
        1    0.000    0.000    0.256    0.256 8085Assembler.py:1076(main)
        1    0.000    0.000    0.000    0.000 __init__.py:628(bubble)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
       30    0.000    0.000    0.000    0.000 ticker.py:265(_set_locator)
        1    0.000    0.000    0.000    0.000 Gdk.py:46(Color)
        1    0.000    0.000    0.000    0.000 _internal.py:216(_getintp_ctype)
        3    0.000    0.000    0.000    0.000 rcsetup.py:395(_validate_mathtext_fallback)
        1    0.000    0.000    0.000    0.000 pathlib.py:399(_NormalAccessor)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2353(__invert__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3697(GoToColumn)
        3    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:453(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 inspect.py:2457(Parameter)
        1    0.000    0.000    0.000    0.000 mathtext.py:35(__getattr__)
        1    0.000    0.000    0.000    0.000 Gtk.py:685(IconView)
        2    0.000    0.000    0.000    0.000 dataclasses.py:861(<listcomp>)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1982(Chebyshev)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_recalculate)
        1    0.000    0.000    0.000    0.000 conflict.py:115(<listcomp>)
        3    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 rrule.py:1409(_rrulestr)
        1    0.000    0.000    0.000    0.000 inspect.py:2428(_ParameterKind)
        1    0.000    0.000    0.000    0.000 dispatcher.py:98(Dispatcher)
        1    0.000    0.000    0.000    0.000 Gtk.py:136(Widget)
        1    0.000    0.000    0.028    0.028 deprecation.py:445(wrapper)
       21    0.000    0.000    0.000    0.000 markers.py:336(get_path)
        1    0.000    0.000    0.000    0.000 dispatcher.py:252(ordering)
        3    0.000    0.000    0.000    0.000 collections.py:844(_set_mappable_flags)
        3    0.000    0.000    0.000    0.000 _base.py:314(get_next_color)
        1    0.000    0.000    0.000    0.000 relativedelta.py:18(relativedelta)
        3    0.000    0.000    0.000    0.000 threading.py:81(RLock)
        1    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        4    0.000    0.000    0.000    0.000 dataclasses.py:342(_tuple_str)
        1    0.000    0.000    0.000    0.000 threading.py:903(_set_tstate_lock)
       16    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        2    0.000    0.000    0.000    0.000 transforms.py:1610(transform_path_affine)
