         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32/27    0.001    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
    391/6    0.001    0.000    1.140    0.190 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      170    0.001    0.000    0.006    0.000 font_manager.py:658(__init__)
    10545    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      411    0.001    0.000    0.004    0.000 copy.py:66(copy)
     1266    0.001    0.000    0.014    0.000 __init__.py:623(__setitem__)
     6689    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7fdbd9660820}
     1068    0.001    0.000    0.005    0.000 {built-in method builtins.any}
       42    0.001    0.000    0.006    0.000 lines.py:647(recache)
      109    0.001    0.000    0.002    0.000 docstring.py:110(_generate_callable_info_doc)
       27    0.001    0.000    0.001    0.000 cycler.py:364(by_key)
      233    0.001    0.000    0.050    0.000 sre_compile.py:759(compile)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     8771    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
      164    0.001    0.000    0.002    0.000 artist.py:149(__init__)
     2171    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       26    0.001    0.000    1.176    0.045 __init__.py:1(<module>)
      162    0.001    0.000    0.003    0.000 types.py:53(_setup_methods)
   576/84    0.001    0.000    1.000    0.012 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1767    0.001    0.000    0.004    0.000 re.py:188(match)
      964    0.001    0.000    0.001    0.000 __init__.py:276(process)
        1    0.001    0.001    0.001    0.001 {method 'copy' of 'ImagingCore' objects}
      233    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     5586    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      344    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       24    0.001    0.000    0.031    0.001 axis.py:57(__init__)
     3717    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     8911    0.001    0.000    0.001    0.000 inspect.py:2857(parameters)
      497    0.001    0.000    0.001    0.000 contextlib.py:82(__init__)
     3733    0.001    0.000    0.001    0.000 inspect.py:72(isclass)
      101    0.001    0.000    0.681    0.007 artist.py:128(_update_set_signature_and_docstring)
      747    0.001    0.000    0.006    0.000 colors.py:152(to_rgba)
      210    0.001    0.000    0.003    0.000 shape_base.py:612(column_stack)
       17    0.001    0.000    0.003    0.000 enum.py:157(__new__)
      233    0.001    0.000    0.031    0.000 sre_parse.py:937(parse)
     1304    0.001    0.000    0.004    0.000 colors.py:106(_is_nth_color)
      286    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
      276    0.001    0.000    0.001    0.000 font_manager.py:710(__hash__)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
     1952    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      414    0.001    0.000    0.001    0.000 __init__.py:1730(<dictcomp>)
     7576    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3180    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
 3627/861    0.001    0.000    0.001    0.000 docstring.py:48(_recursive_subclasses)
       43    0.001    0.000    0.013    0.000 text.py:671(draw)
      149    0.001    0.000    0.004    0.000 deprecation.py:133(deprecate)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       21    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
